id,file_path,line_number,code_line
108,test_insert_values.abap,4,"lv_modifier TYPE sy-uname,"
109,test_insert_values.abap,11,lv_creator = sy-uname.
110,test_insert_values.abap,14,username = sy-uname
111,test_insert_values.abap,21,created_by = sy-uname
112,test_insert_values.abap,27,lv_modifier = sy-uname.
113,test_insert_values.abap,30,"( '001', sy-uname, 'CREATE', sy-datum, sy-uzeit ),"
114,test_insert_values.abap,32,"( '003', sy-uname, 'DELETE', sy-datum, sy-uzeit )."
115,test_insert_values.abap,35,ls_record-created_by = sy-uname.
116,test_insert_values.abap,42,APPEND VALUE #( created_by = sy-uname
117,test_insert_values.abap,51,"SELECT sy-uname, sy-datum"
118,test_mixed.abap,3,"PARAMETERS: p_user TYPE sy-uname,"
119,test_mixed.abap,7,"SELECT-OPTIONS: s_user FOR sy-uname,"
120,test_multiline.abap,3,"SELECT-OPTIONS: s_user FOR sy-uname,"
121,test_multiline.abap,8,"PARAMETERS: p_user TYPE sy-uname,"
122,test_multiline_scenario.abap,3,"DATA: gv_user TYPE sy-uname,"
123,test_multiline_scenario.abap,6,gv_user = sy-uname.
124,test_multiline_update.abap,3,"DATA: lv_username TYPE sy-uname,"
125,test_multiline_update.abap,10,lv_username = sy-uname.
126,test_multiline_update.abap,33,SET approver = sy-uname
127,test_multiline_update.abap,40,lv_username = sy-uname.
128,test_multiple_rfc.abap,3,"DATA: gv_user TYPE sy-uname,"
129,test_multiple_rfc.abap,4,"gv_remote_user TYPE sy-uname,"
130,test_multiple_rfc.abap,5,"gv_sync_user TYPE sy-uname,"
131,test_multiple_rfc.abap,13,gv_user = sy-uname.
132,test_multiple_rfc.abap,21,gv_remote_user = sy-uname.
133,test_multiple_rfc.abap,36,gs_user_data-username = sy-uname.
134,test_multiple_rfc.abap,48,gv_sync_user = sy-uname.
135,test_multiple_rfc.abap,62,iv_user = sy-uname
136,test_multiple_rfc.abap,68,DATA: lv_temp_user TYPE sy-uname.
137,test_multiple_rfc.abap,69,lv_temp_user = sy-uname.
138,test_multiple_rfc.abap,84,ls_complex-created_by = sy-uname.
139,test_multiple_rfc.abap,85,ls_complex-department-manager = sy-uname.
140,test_multiple_rfc.abap,86,ls_complex-approval-approver = sy-uname.
141,test_multiple_rfc.abap,95,IF sy-uname = 'ADMIN'.
142,test_multiple_rfc.abap,97,EXPORTING iv_admin_user = sy-uname.
143,test_multiple_rfc.abap,100,EXPORTING iv_normal_user = sy-uname.
144,test_multiple_rfc.abap,112,INSERT INTO zasync_results VALUES ( username = sy-uname
145,test_perform_using.abap,3,"DATA: gv_user TYPE sy-uname,"
146,test_perform_using.abap,4,"gv_admin TYPE sy-uname,"
147,test_perform_using.abap,5,"gv_supervisor TYPE sy-uname,"
148,test_perform_using.abap,11,gv_user = sy-uname.
149,test_perform_using.abap,15,gv_admin = sy-uname.
150,test_perform_using.abap,16,gv_supervisor = sy-uname.
151,test_perform_using.abap,23,gs_data-username = sy-uname.
152,test_perform_using.abap,24,PERFORM update_structure USING sy-uname
153,test_perform_using.abap,28,PERFORM main_process USING sy-uname.
154,test_perform_using.abap,31,PERFORM log_activity USING sy-uname
155,test_perform_using.abap,32,|User: { sy-uname }|
156,test_perform_using.abap,38,gv_user = sy-uname.
157,test_perform_using.abap,42,FORM process_user USING p_user TYPE sy-uname.
158,test_perform_using.abap,48,FORM validate_access USING p_admin TYPE sy-uname
159,test_perform_using.abap,49,p_supervisor TYPE sy-uname
160,test_perform_using.abap,61,FORM update_structure USING p_user TYPE sy-uname
161,test_perform_using.abap,70,FORM main_process USING p_username TYPE sy-uname.
162,test_perform_using.abap,77,FORM sub_process USING p_user TYPE sy-uname.
163,test_perform_using.abap,83,FORM another_process USING p_user TYPE sy-uname.
164,test_perform_using.abap,89,FORM log_user USING p_user TYPE sy-uname.
165,test_perform_using.abap,95,FORM log_activity USING p_user TYPE sy-uname
166,test_sample.abap,10,lv_user = sy-uname.
167,test_sample.abap,25,ls_data-changed_by = sy-uname.
168,user_example.abap,3,aenam = sy-uname.
169,zabap.abap,1,ZPA0020-ERNAM = SY-UNAME.
170,zpa0020_fixed.abap,5,"ZPA0020-ADQN = SY-UNAME.     "" Added/modified by username"
171,zpa0020_fixed.abap,6,"ZPA0020-ERNAM = SY-UNAME.    "" Created by username"
172,ztest.abap,4,gv_user = sy-uname.
173,ztest.abap,9,iv_username = sy-uname.
174,complex_db_operations_01.abap,41,lv_user = sy-uname.
175,complex_db_operations_01.abap,59,created_by = sy-uname
176,complex_db_operations_01.abap,69,created_by = sy-uname
177,complex_db_operations_01.abap,85,ls_user_info-created_by = sy-uname.
178,complex_db_operations_01.abap,86,ls_user_info-modified_by = sy-uname.
179,complex_db_operations_01.abap,103,lv_modifier = sy-uname.
180,complex_db_operations_01.abap,138,changed_by = sy-uname
181,complex_db_operations_01.abap,151,updated_by = sy-uname
182,complex_db_operations_01.abap,169,ls_user_info-modified_by = sy-uname.
183,complex_db_operations_01.abap,187,lv_creator = sy-uname.
184,complex_db_operations_01.abap,203,modified_by = sy-uname
185,complex_db_operations_01.abap,217,ls_audit-modified_by = sy-uname.
186,complex_db_operations_01.abap,237,deleted_by = sy-uname
187,complex_db_operations_01.abap,251,lv_current_user = sy-uname.
188,complex_db_operations_01.abap,271,lv_user1 = sy-uname.
189,complex_db_operations_01.abap,294,<fs_user>-created_by = sy-uname.
190,complex_db_operations_01.abap,317,lr_ref->created_by = sy-uname.
191,complex_db_operations_01.abap,333,( 'USER001', sy-uname, sy-datum, sy-uzeit ),
192,complex_db_operations_01.abap,334,( 'USER002', sy-uname, sy-datum, sy-uzeit ),
193,complex_db_operations_01.abap,335,( 'USER003', sy-uname, sy-datum, sy-uzeit ),
194,complex_db_operations_01.abap,348,created_by = sy-uname
195,complex_db_operations_01.abap,363,modified_by = sy-uname.
196,complex_db_operations_01.abap,391,ps_user-modified_by = sy-uname.
197,complex_db_operations_01.abap,412,ps_record-created_by = sy-uname.
198,complex_db_operations_01.abap,429,ps_user-modified_by = sy-uname.
199,complex_db_operations_01.abap,455,created_by = sy-uname
200,complex_db_operations_01.abap,471,SET created_by = sy-uname,
201,complex_db_operations_01.abap,491,created_by = sy-uname,
202,complex_db_operations_01.abap,506,lv_user_chain1 = sy-uname.
203,complex_db_operations_01.abap,539,changed_by = sy-uname
204,mixed_patterns_test.abap,50,lv_user = sy-uname.
205,mixed_patterns_test.abap,56,iv_username = sy-uname
206,mixed_patterns_test.abap,72,lv_rfc_user = sy-uname.
207,mixed_patterns_test.abap,90,iv_user = sy-uname
208,mixed_patterns_test.abap,113,ls_user_data-created_by = sy-uname.
209,mixed_patterns_test.abap,114,ls_user_data-modified_by = sy-uname.
210,mixed_patterns_test.abap,135,lv_async_user = sy-uname.
211,mixed_patterns_test.abap,158,iv_task_user = sy-uname
212,mixed_patterns_test.abap,174,lt_users = VALUE #( ( sy-uname ) ).
213,mixed_patterns_test.abap,187,iv_batch_user = sy-uname
214,mixed_patterns_test.abap,203,lv_mixed_user = sy-uname.
215,mixed_patterns_test.abap,215,created_by = sy-uname
216,mixed_patterns_test.abap,234,iv_notify_user = sy-uname
217,mixed_patterns_test.abap,253,IF sy-uname = 'ADMIN'.
218,mixed_patterns_test.abap,256,iv_admin_user = sy-uname
219,mixed_patterns_test.abap,261,ELSEIF sy-uname CP 'USER*'.
220,mixed_patterns_test.abap,264,iv_standard_user = sy-uname
221,mixed_patterns_test.abap,273,iv_guest_user = sy-uname
222,mixed_patterns_test.abap,286,lv_chain_user = sy-uname.
223,mixed_patterns_test.abap,296,iv_chain_user = sy-uname
224,mixed_patterns_test.abap,314,iv_final_user = sy-uname
225,mixed_patterns_test.abap,338,lv_parallel_user = sy-uname.
226,mixed_patterns_test.abap,345,iv_user1 = sy-uname
227,mixed_patterns_test.abap,352,iv_user2 = sy-uname
228,mixed_patterns_test.abap,359,iv_user3 = sy-uname
229,mixed_patterns_test.abap,372,lv_batch_user = sy-uname.
230,mixed_patterns_test.abap,378,lt_batch_data = VALUE #( FOR i = 1 UNTIL i > 10 ( user = sy-uname
231,mixed_patterns_test.abap,402,lv_system_user = sy-uname.
232,mixed_patterns_test.abap,421,ps_async-created_by = sy-uname.
233,mixed_patterns_test.abap,442,ps_result-processed_by = sy-uname.
234,mixed_patterns_test.abap,462,ps_batch-creator = sy-uname.
235,mixed_patterns_test.abap,486,ps_update-updated_by = sy-uname.
236,mixed_patterns_test.abap,503,lv_nested_user = sy-uname.
237,mixed_patterns_test.abap,515,iv_user = sy-uname
238,mixed_patterns_test.abap,525,created_by = sy-uname
239,mixed_patterns_test.abap,538,iv_log_user = sy-uname
240,advanced_taint_tracking.abap,119,lv_source_user = sy-uname.
241,advanced_taint_tracking.abap,140,wa_user_master-system_info-created_by = sy-uname.
242,advanced_taint_tracking.abap,142,wa_user_master-system_info-modified_by = sy-uname.
243,advanced_taint_tracking.abap,158,<fs_user_master>-system_info-created_by = sy-uname.
244,advanced_taint_tracking.abap,159,<fs_user_master>-system_info-modified_by = sy-uname.
245,advanced_taint_tracking.abap,166,<fs_nested_field>-modified_by = sy-uname.
246,advanced_taint_tracking.abap,174,wa_user_master-system_info-created_by = sy-uname.
247,advanced_taint_tracking.abap,175,wa_user_master-system_info-modified_by = sy-uname.
248,advanced_taint_tracking.abap,181,wa_audit_complex-user_context-original_user = sy-uname.
249,advanced_taint_tracking.abap,189,wa_user_master-system_info-created_by = sy-uname.
250,advanced_taint_tracking.abap,190,wa_user_master-system_info-modified_by = sy-uname.
251,advanced_taint_tracking.abap,213,IF sy-uname CA 'ADMIN'.
252,advanced_taint_tracking.abap,214,lv_proxy_user = sy-uname.
253,advanced_taint_tracking.abap,216,ELSEIF sy-uname CP 'USER*'.
254,advanced_taint_tracking.abap,217,lv_session_user = sy-uname.
255,advanced_taint_tracking.abap,220,lv_audit_user = sy-uname.
256,advanced_taint_tracking.abap,234,lv_source_user = sy-uname.
257,advanced_taint_tracking.abap,258,lv_source_user = sy-uname.
258,advanced_taint_tracking.abap,294,lv_accumulated_user = sy-uname.
259,advanced_taint_tracking.abap,323,lr_user_ref->system_info-created_by = sy-uname.
260,advanced_taint_tracking.abap,324,lr_user_ref->system_info-modified_by = sy-uname.
261,advanced_taint_tracking.abap,337,lr_audit_ref->user_context-changing_user = sy-uname.
262,advanced_taint_tracking.abap,338,lr_audit_ref->user_context-session_user = sy-uname.
263,advanced_taint_tracking.abap,355,lv_source_user = sy-uname.
264,advanced_taint_tracking.abap,390,lv_source_user = sy-uname.
265,advanced_taint_tracking.abap,421,lv_source_user = sy-uname.
266,advanced_taint_tracking.abap,463,ps_user-system_info-modified_by = sy-uname.
267,comprehensive_test_suite.abap,200,lv_level1 = sy-uname.
268,comprehensive_test_suite.abap,228,created_by = sy-uname
269,comprehensive_test_suite.abap,248,lv_user1 = sy-uname.
270,comprehensive_test_suite.abap,262,lv_current = sy-uname.
271,comprehensive_test_suite.abap,291,processed_by = sy-uname
272,comprehensive_test_suite.abap,310,IF sy-uname = 'ADMIN'.
273,comprehensive_test_suite.abap,311,lv_condition_user = sy-uname.
274,comprehensive_test_suite.abap,315,ELSEIF sy-uname CP 'USER*'.
275,comprehensive_test_suite.abap,316,lv_condition_user = sy-uname.
276,comprehensive_test_suite.abap,320,ELSEIF sy-uname CA 'TEST'.
277,comprehensive_test_suite.abap,321,lv_condition_user = sy-uname.
278,comprehensive_test_suite.abap,327,lv_condition_user = sy-uname.
279,comprehensive_test_suite.abap,343,CASE sy-uname.
280,comprehensive_test_suite.abap,345,lv_switch_user = sy-uname.
281,comprehensive_test_suite.abap,349,lv_switch_user = sy-uname.
282,comprehensive_test_suite.abap,354,lv_switch_user = sy-uname.
283,comprehensive_test_suite.abap,390,lv_dyn_user = sy-uname.
284,comprehensive_test_suite.abap,422,lr_ref1->created_by = sy-uname.
285,comprehensive_test_suite.abap,442,lv_start_user = sy-uname.
286,comprehensive_test_suite.abap,496,iv_user = sy-uname
287,comprehensive_test_suite.abap,523,lv_async_user = sy-uname.
288,comprehensive_test_suite.abap,540,iv_task_user = sy-uname
289,comprehensive_test_suite.abap,563,iv_final_user = sy-uname
290,comprehensive_test_suite.abap,588,lv_edge_user = sy-uname.
291,comprehensive_test_suite.abap,616,lv_very_long_user = sy-uname.
292,comprehensive_test_suite.abap,664,lv_empty_user = sy-uname.
293,comprehensive_test_suite.abap,678,IF sy-uname IS NOT INITIAL.
294,comprehensive_test_suite.abap,682,created_by = sy-uname
295,comprehensive_test_suite.abap,697,lv_partial_user = sy-uname.
296,comprehensive_test_suite.abap,726,lv_mega_user = sy-uname.
297,comprehensive_test_suite.abap,778,ultimate_user = sy-uname
298,comprehensive_test_suite.abap,798,ps_proc-modifier = sy-uname.
299,comprehensive_test_suite.abap,825,ps_callback-callback_user = sy-uname.
300,comprehensive_test_suite.abap,847,ps_final-final_modifier = sy-uname.
