ID,Source_File,Line_Number,Status,Final_Table,Final_Fields,DB_Operations,RFC_Functions,PERFORM_Calls,Confidence,Tainted_Variables,Description
11,input/03_database_modify.abap,35,Complete,ZTABLE,CHANGED_BY,"MODIFY, INSERT, UPDATE",,,0.75,"SY-UNAME, WA_ZTABLE-CHANGED_BY, WA_ZTABLE, WA_ZTABLE-CHANGED_ON, ZTABLE","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted"
12,input/03_database_modify.abap,61,Complete,ZTABLE,CHANGED_BY,"MODIFY, UPDATE",,,0.75,"SY-UNAME, WA_ZTABLE-CHANGED_BY, WA_ZTABLE, WA_ZTABLE-CHANGED_ON, LT_ZTABLE","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 6 tainted"
13,input/03_database_modify.abap,122,Complete,ZTABLE,PROCESSED_BY,MODIFY,,,0.75,"SY-UNAME, WA_ZTABLE-PROCESSED_BY, WA_ZTABLE, LT_ZTABLE, ZTABLE","Operations: Assignment, Structure Field, Internal Table | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted"
14,input/03_database_modify.abap,247,Complete,LT_ZTABLE,MODIFIED_BY,"SELECT, MODIFY",,,0.85,"SY-UNAME, WA_ZTABLE-CHECKED_BY, WA_ZTABLE, LT_ZTABLE","Operations: Assignment, Structure Field, Internal Table | Variables: 4 tainted"
15,input/04_database_delete.abap,64,Complete,WITH,DELETED_BY,"SELECT, DELETE",,,0.85,"SY-UNAME, LS_DATE-LOW, LS_DATE, LR_DATE","Operations: Assignment, Structure Field, Internal Table | Variables: 4 tainted"
16,input/04_database_delete.abap,217,Complete,ZTABLE,USER_FIELD,"DELETE, SELECT",,,0.75,"SY-UNAME, LV_WHERE",Operations: Assignment | Variables: 2 tainted
17,input/06_move_operations.abap,81,Complete,VARIABLE,LV_VAR1,,,,0.65,"SY-UNAME, LV_VAR1, FIELD3","Operations: Assignment, Assignment | Variables: 3 tainted"
18,input/09_data_declarations.abap,210,Complete,VARIABLE,LV_TEMPLATE,SELECT,,,0.65,SY-UNAME,Variables: 1 tainted
19,input/10_if_else.abap,162,Complete,VARIABLE,LOCAL_VAR,,,,0.60,SY-UNAME,Variables: 1 tainted
20,input/11_case_when.abap,105,Complete,VARIABLE,LOCAL_VAR,,,,0.60,SY-UNAME,Variables: 1 tainted
21,input/11_case_when.abap,109,Complete,VARIABLE,LOCAL_VAR,,,,0.60,SY-UNAME,Variables: 1 tainted
22,input/13_try_catch.abap,118,Complete,VARIABLE,LOCAL_VAR,,,,0.60,SY-UNAME,Variables: 1 tainted
23,input/34_multiline_colon.abap,162,Complete,VARIABLE,LOCAL_VAR,SELECT,,examples,0.60,SY-UNAME,Variables: 1 tainted
24,input/34_multiline_colon.abap,233,Complete,VARIABLE,LOCAL_VAR,,,examples,0.60,SY-UNAME,Variables: 1 tainted
25,input/business_scenario.abap,7,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
26,input/business_scenario.abap,14,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
27,input/comment_find.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
28,input/complex_structure.abap,4,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
29,input/complex_structure.abap,10,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
30,input/long_code_find.abap,44,Complete,VARIABLE,LOCAL_VAR,,,,0.60,SY-UNAME,Variables: 1 tainted
31,input/multiline_complex.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
32,input/simple_find.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
33,input/simple_find.abap,6,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
34,input/substring_negative.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
35,input/test_basic.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
36,input/test_colon_comma.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
37,input/test_colon_comma.abap,7,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
38,input/test_complex_flow.abap,4,Complete,ZMASTER_DATA,CREATED_BY,SELECT,Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
39,input/test_complex_flow.abap,5,Complete,ZMASTER_DATA,CREATED_BY,SELECT,Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
40,input/test_complex_flow.abap,11,Complete,ZMASTER_DATA,CREATED_BY,SELECT,Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
41,input/test_complex_flow.abap,18,Complete,ZMASTER_DATA,CREATED_BY,SELECT,Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
42,input/test_complex_flow.abap,24,Complete,ZMASTER_DATA,CREATED_BY,"SELECT, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
43,input/test_complex_flow.abap,25,Complete,ZMASTER_DATA,CREATED_BY,"SELECT, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
44,input/test_complex_flow.abap,26,Complete,ZMASTER_DATA,CREATED_BY,"SELECT, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
45,input/test_complex_flow.abap,29,Complete,ZMASTER_DATA,CREATED_BY,"SELECT, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZMASTER_DATA | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 7 tainted"
46,input/test_complex_flow.abap,66,Complete,ZPROCESSED_USERS,FIELD6,"MODIFY, INSERT, UPDATE",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
47,input/test_complex_flow.abap,72,Complete,ZARCHIVE,CREATED_DATE,"MODIFY, INSERT, UPDATE",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZARCHIVE | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
48,input/test_complex_flow.abap,79,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
49,input/test_complex_flow.abap,80,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
50,input/test_complex_flow.abap,96,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
51,input/test_complex_flow.abap,97,Complete,ZPROCESSED_USERS,FIELD6,"SELECT, UPDATE, INSERT",Z_TRANSFORM_USER,"update_audit_log, write_to_archive",0.75,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | RFC: Z_TRANSFORM_USER | Variables: 1 tainted
52,input/test_complex_flow.abap,132,Complete,ZPROCESSED_USERS,FIELD6,"INSERT, UPDATE",,write_to_archive,0.75,"SY-UNAME, LS_AUDIT-AUDIT_DATE, LS_AUDIT, LS_AUDIT-AUDIT_TIME, LV_ARCHIVE_PATH","Operations: Assignment, Structure Field, Assignment | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 6 tainted"
53,input/test_complex_flow.abap,146,Complete,ZARCHIVE,"FIELD3, FIELD7, CREATED_DATE","UPDATE, INSERT",,write_to_archive,0.75,"SY-UNAME, LV_ARCHIVE_PATH, ARCHIVE_DATE","Operations: Assignment, Assignment | Tables: ZARCHIVE | Fields: 3 affected | Variables: 3 tainted"
54,input/test_comprehensive_scenario.abap,3,Complete,ZTABLE,USER_FIELD,SELECT,,log_user_activity,0.65,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
55,input/test_comprehensive_scenario.abap,4,Complete,ZTABLE,USER_FIELD,SELECT,,log_user_activity,0.65,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
56,input/test_comprehensive_scenario.abap,5,Complete,ZTABLE,USER_FIELD,SELECT,,log_user_activity,0.65,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
57,input/test_comprehensive_scenario.abap,8,Complete,ZTABLE,USER_FIELD,SELECT,,log_user_activity,0.65,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
58,input/test_comprehensive_scenario.abap,18,Complete,VARIABLE,GV_USER,"SELECT, MODIFY",,log_user_activity,0.65,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
59,input/test_comprehensive_scenario.abap,44,Complete,A,MODIFIED_BY,MODIFY,,log_user_activity,0.85,SY-UNAME,Variables: 1 tainted
60,input/test_default.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
61,input/test_default.abap,8,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
62,input/test_extended_scenarios.abap,3,Complete,ZTABLE,USER_FIELD,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.65,"SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted"
63,input/test_extended_scenarios.abap,4,Complete,VARIABLE,LOCAL_VAR,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.60,"SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted"
64,input/test_extended_scenarios.abap,5,Complete,ZTABLE,USER_FIELD,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.65,"SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted"
65,input/test_extended_scenarios.abap,10,Complete,VARIABLE,GV_USER_RFC,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.65,"SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted"
66,input/test_extended_scenarios.abap,17,Complete,VARIABLE,GV_USER_PERFORM,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.65,"SY-UNAME, GV_USER_PERFORM, GV_USER_UNUSED","Operations: Assignment, Assignment | RFC: Z_RFC_UPDATE_USER | Variables: 3 tainted"
67,input/test_extended_scenarios.abap,22,Complete,VARIABLE,GV_USER_UNUSED,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.65,"SY-UNAME, GV_USER_UNUSED",Operations: Assignment | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted
68,input/test_extended_scenarios.abap,26,Complete,ZUSER_LOG,CREATED_BY,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data",0.85,SY-UNAME,RFC: Z_RFC_UPDATE_USER | Variables: 1 tainted
69,input/test_insert_values.abap,3,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT",,,0.75,"SY-UNAME, LV_CREATOR, USERNAME, TIMESTAMP, CLIENT","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 11 tainted"
70,input/test_insert_values.abap,4,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT",,,0.75,"SY-UNAME, LV_CREATOR, USERNAME, TIMESTAMP, CLIENT","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 11 tainted"
71,input/test_insert_values.abap,11,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT",,,0.75,"SY-UNAME, LV_CREATOR, USERNAME, TIMESTAMP, CLIENT","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 11 tainted"
72,input/test_insert_values.abap,14,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT, UPDATE",,,0.75,"SY-UNAME, USERNAME, TIMESTAMP, CLIENT, CREATED_BY","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 10 tainted"
73,input/test_insert_values.abap,21,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT, UPDATE",,,0.75,"SY-UNAME, CREATED_BY, CREATED_DATE, LV_MODIFIER, LS_RECORD-CREATED_BY","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 7 tainted"
74,input/test_insert_values.abap,27,Complete,ZUSER_RECORDS,CREATED_BY,"SELECT, INSERT, UPDATE",,,0.75,"SY-UNAME, LV_MODIFIER, LS_RECORD-CREATED_BY, LS_RECORD, LS_RECORD-CREATED_DATE","Operations: Assignment, Assignment, Structure Field | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 5 tainted"
75,input/test_insert_values.abap,30,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, UPDATE, DELETE",,,0.75,"SY-UNAME, LS_RECORD-CREATED_BY, LS_RECORD, LS_RECORD-CREATED_DATE","Operations: Assignment, Structure Field, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 4 tainted"
76,input/test_insert_values.abap,32,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, UPDATE, DELETE",,,0.75,"SY-UNAME, LS_RECORD-CREATED_BY, LS_RECORD, LS_RECORD-CREATED_DATE","Operations: Assignment, Structure Field, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 4 tainted"
77,input/test_insert_values.abap,35,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, UPDATE, DELETE",,,0.75,"SY-UNAME, LS_RECORD-CREATED_BY, LS_RECORD, LS_RECORD-CREATED_DATE","Operations: Assignment, Structure Field, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 4 tainted"
78,input/test_insert_values.abap,42,Complete,ZUSER_LOG,"CLIENT, CREATED_BY, FIELD12","INSERT, UPDATE, DELETE",,,0.75,"SY-UNAME, CREATED_DATE","Operations: Assignment, Assignment | Tables: ZUSER_LOG | Fields: 3 affected | Variables: 2 tainted"
79,input/test_insert_values.abap,51,Complete,ZACTIONS,CREATED_BY,"UPDATE, DELETE, INSERT",,,0.85,SY-UNAME,Variables: 1 tainted
80,input/test_mixed.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
81,input/test_mixed.abap,7,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
82,input/test_multiline.abap,3,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
83,input/test_multiline.abap,8,Complete,VARIABLE,LOCAL_VAR,SELECT,,,0.60,SY-UNAME,Variables: 1 tainted
84,input/test_multiline_scenario.abap,3,Complete,ZUSER_DATA,CHANGED_BY,UPDATE,,,0.85,"SY-UNAME, GV_USER, LAST_CHANGED_AT","Operations: Assignment, Assignment | Variables: 3 tainted"
85,input/test_multiline_scenario.abap,6,Complete,ZUSER_DATA,CHANGED_BY,UPDATE,,,0.85,"SY-UNAME, GV_USER, LAST_CHANGED_AT","Operations: Assignment, Assignment | Variables: 3 tainted"
86,input/test_multiline_update.abap,3,Complete,WITH,CHANGED_BY,"UPDATE, SELECT",,,0.85,"SY-UNAME, LV_USERNAME, LV_CLIENT, CLIENT","Operations: Assignment, Assignment, Assignment | Variables: 4 tainted"
87,input/test_multiline_update.abap,10,Complete,WITH,CHANGED_BY,"UPDATE, SELECT",,,0.85,"SY-UNAME, LV_USERNAME, LV_CLIENT, CLIENT","Operations: Assignment, Assignment, Assignment | Variables: 4 tainted"
88,input/test_multiline_update.abap,33,Complete,ZEMPLOYEES,APPROVER,"UPDATE, SELECT",,,0.75,"SY-UNAME, LV_USERNAME",Operations: Assignment | Variables: 2 tainted
89,input/test_multiline_update.abap,40,Complete,ZTABLE1,USER_ID,"UPDATE, SELECT",,,0.85,"SY-UNAME, LV_USERNAME",Operations: Assignment | Variables: 2 tainted
90,input/test_multiple_rfc.abap,3,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9","SELECT, UPDATE","Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA | Variables: 2 tainted"
91,input/test_multiple_rfc.abap,4,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9","SELECT, UPDATE","Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA | Variables: 2 tainted"
92,input/test_multiple_rfc.abap,5,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9","SELECT, UPDATE","Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA | Variables: 2 tainted"
93,input/test_multiple_rfc.abap,13,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9","SELECT, UPDATE","Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA | Variables: 2 tainted"
94,input/test_multiple_rfc.abap,21,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9","SELECT, UPDATE","Z_SYNC_USER_DATA, Z_UPDATE_REMOTE_USER, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_REMOTE_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_SYNC_USER_DATA, Z_UPDATE_REMOTE_USER | Variables: 2 tainted"
95,input/test_multiple_rfc.abap,36,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",UPDATE,"Z_BATCH_UPDATE_USERS, Z_UPDATE_REMOTE_USER, Z_SYNC_USER_DATA",,0.75,"SY-UNAME, GS_USER_DATA-USERNAME, GS_USER_DATA, GS_USER_DATA-CLIENT, GS_USER_DATA-CREATED_DATE","Operations: Assignment, Structure Field, Assignment | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_BATCH_UPDATE_USERS, Z_UPDATE_REMOTE_USER | "
96,input/test_multiple_rfc.abap,48,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",UPDATE,"Z_ASYNC_PROCESS, Z_SYNC_USER_DATA, Z_BATCH_UPDATE_USERS",,0.75,"SY-UNAME, GV_SYNC_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_ASYNC_PROCESS, Z_SYNC_USER_DATA | Variables: 2 tainted"
97,input/test_multiple_rfc.abap,62,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",UPDATE,"Z_CREATE_USER, Z_BATCH_UPDATE_USERS, Z_ASYNC_PROCESS",,0.75,"SY-UNAME, IV_USER, IV_DATE, LV_TEMP_USER","Operations: Assignment, Assignment, Assignment | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_CREATE_USER, Z_BATCH_UPDATE_USERS | Variables: 4"
98,input/test_multiple_rfc.abap,68,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",,"Z_CREATE_USER, Z_BATCH_UPDATE_USERS, Z_ASYNC_PROCESS",,0.75,"SY-UNAME, LV_TEMP_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_CREATE_USER, Z_BATCH_UPDATE_USERS | Variables: 2 tainted"
99,input/test_multiple_rfc.abap,69,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",,"Z_CREATE_USER, Z_BATCH_UPDATE_USERS, Z_ASYNC_PROCESS",,0.75,"SY-UNAME, LV_TEMP_USER","Operations: Assignment, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_CREATE_USER, Z_BATCH_UPDATE_USERS | Variables: 2 tainted"
100,input/test_multiple_rfc.abap,84,Complete,ZASYNC_RESULTS,"CREATED_BY, FIELD9",,"Z_PROCESS_COMPLEX_DATA, Z_BACKGROUND_SYNC, Z_CREATE_USER",,0.75,"SY-UNAME, LS_COMPLEX-CREATED_BY, LS_COMPLEX","Operations: Assignment, Structure Field, Rfc Call | Tables: ZASYNC_RESULTS | Fields: 2 affected | RFC: Z_PROCESS_COMPLEX_DATA, Z_BACKGROUND_SYNC | Var"
