ID,Source_File,Line_Number,Status,Final_Table,Final_Fields,DB_Operations,RFC_Functions,PERFORM_Calls,Tainted_Variables,Description,Error_Reason
13,input/02_database_update.abap,97,Partial,,LV_MODIFIER,"UPDATE, SELECT",,,"SY-UNAME, LV_MODIFIER, LS_TEMP-PROCESSED_DATE, LS_TEMP, LS_TEMP-PROCESSED_BY","Operations: Assignment, Assignment, Structure Field | Variables: 16 tainted",Variable assignment - intermediate step before DB operation
14,input/02_database_update.abap,106,Complete,ZTABLE,USER_FIELD,"UPDATE, SELECT",,,"SY-UNAME, LV_USER, LS_TEMP-LINKED_BY, LS_TEMP, LS_INTERMEDIATE-UPDATER","Operations: Assignment, Assignment, Structure Field | Variables: 12 tainted",
15,input/02_database_update.abap,150,Partial,,LV_USER,"UPDATE, SELECT",,,"SY-UNAME, LV_USER, LS_TEMP-LINKED_BY, LS_TEMP, LS_INTERMEDIATE-UPDATER","Operations: Assignment, Assignment, Structure Field | Variables: 17 tainted",Variable assignment - intermediate step before DB operation
16,input/02_database_update.abap,165,Complete,ZTABLE,CHANGED_BY,"SELECT, UPDATE",,,"SY-UNAME, LS_INTERMEDIATE-UPDATER, LS_INTERMEDIATE, LS_TABLE, GT_DATA","Operations: Assignment, Structure Field, Assignment | Variables: 15 tainted",
17,input/02_database_update.abap,205,Complete,ZTABLE,CHANGED_BY,UPDATE,,,"SY-UNAME, CHANGED_BY, ARCHIVE_DATE, ARCHIVE_USER, LV_MODIFIER","Operations: Assignment, Assignment, Assignment | Variables: 12 tainted",
18,input/02_database_update.abap,225,Complete,ZTABLE,ARCHIVE_USER,UPDATE,,,"SY-UNAME, ARCHIVE_USER, LV_MODIFIER, LS_TEMP-PROCESS_DATE, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 10 tainted",
19,input/02_database_update.abap,256,Partial,,LV_MODIFIER,"UPDATE, SELECT",,,"SY-UNAME, LV_MODIFIER, LS_TEMP-PROCESS_DATE, LS_TEMP, LS_TEMP-PROCESSED_BY","Operations: Assignment, Assignment, Structure Field | Variables: 9 tainted",Variable assignment - intermediate step before DB operation
20,input/02_database_update.abap,262,Complete,ZTABLE,USER_FIELD,"SELECT, UPDATE",,,SY-UNAME,Variables: 1 tainted,
21,input/02_database_update.abap,289,Complete,ZTABLE,USER_FIELD,UPDATE,,,SY-UNAME,Variables: 1 tainted,
22,input/03_database_modify.abap,27,Partial,,,MODIFY,,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
23,input/03_database_modify.abap,28,Partial,,,,,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
24,input/03_database_modify.abap,29,Partial,,,,,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
25,input/03_database_modify.abap,37,Partial,,,,,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 18 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
26,input/03_database_modify.abap,47,Complete,ZTABLE,"CHANGED_BY, ACCESSED_BY, MODIFIED_BY","MODIFY, INSERT, UPDATE",,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 3 affected | Variables: 20 tainted",
27,input/03_database_modify.abap,57,Complete,ZTABLE,"CHANGED_BY, ACCESSED_BY, MODIFIED_BY","MODIFY, INSERT, UPDATE",,,"SY-UNAME, LV_USER, LV_MODIFIER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 3 affected | Variables: 20 tainted",
28,input/03_database_modify.abap,63,Complete,ZTABLE,"CHANGED_BY, ACCESSED_BY, MODIFIED_BY","MODIFY, INSERT, UPDATE",,,"SY-UNAME, LS_TEMP-CHANGED_ON, LS_TEMP, LS_TABLE, WA_ZTABLE","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 3 affected | Variables: 20 tainted",
29,input/03_database_modify.abap,86,Complete,ZTABLE,"CHANGED_BY, ACCESSED_BY, MODIFIED_BY",MODIFY,,,"SY-UNAME, LV_PROCESSOR, LS_TEMP-CHANGED_BY, LS_TEMP, LS_TEMP-CHANGED_ON","Operations: Assignment, Assignment, Structure Field | Tables: ZTABLE | Fields: 3 affected | Variables: 19 tainted",
30,input/03_database_modify.abap,94,Complete,ZTABLE,"ACCESSED_BY, MODIFIED_BY",MODIFY,,,"SY-UNAME, LS_TEMP-CHANGED_ON, LS_TEMP, WA_ZTABLE-CHANGED_ON, WA_ZTABLE","Operations: Assignment, Structure Field, Internal Table | Tables: ZTABLE | Fields: 2 affected | Variables: 17 tainted",
31,input/03_database_modify.abap,150,Complete,ZTABLE,"ACCESSED_BY, MODIFIED_BY","MODIFY, SELECT",,,"SY-UNAME, LV_USER, LS_TEMP-LAST_ACCESS, LS_TEMP, LS_TEMP-ACCESSED_BY","Operations: Assignment, Assignment, Structure Field | Tables: ZTABLE | Fields: 2 affected | Variables: 13 tainted",
32,input/03_database_modify.abap,158,Complete,ZTABLE,PROCESSED_BY,"MODIFY, SELECT",,,"SY-UNAME, WA_ZTABLE-PROCESSED_BY, WA_ZTABLE, LT_ZTABLE, LV_MODIFIER","Operations: Assignment, Structure Field, Internal Table | Tables: ZTABLE | Fields: 1 affected | Variables: 12 tainted",
33,input/03_database_modify.abap,172,Complete,ZTABLE,PROCESSED_BY,"SELECT, MODIFY",,,"SY-UNAME, WA_ZTABLE-PROCESSED_BY, WA_ZTABLE, LT_ZTABLE, LV_MODIFIER","Operations: Assignment, Structure Field, Internal Table | Tables: ZTABLE | Fields: 1 affected | Variables: 12 tainted",
34,input/03_database_modify.abap,185,Partial,,LV_MODIFIER,MODIFY,,,"SY-UNAME, LV_MODIFIER, LS_TEMP-MODIFIED_BY, LS_TEMP, LV_USER","Operations: Assignment, Assignment, Structure Field | Variables: 13 tainted",Variable assignment - intermediate step before DB operation
35,input/03_database_modify.abap,227,Partial,,LV_USER,"MODIFY, SELECT",,,"SY-UNAME, LV_USER, LS_INTERMEDIATE-MODIFIER, LS_INTERMEDIATE, LS_TABLE","Operations: Assignment, Assignment, Structure Field | Variables: 16 tainted",Variable assignment - intermediate step before DB operation
36,input/03_database_modify.abap,236,Complete,ZTABLE,USER_FIELD,"MODIFY, SELECT, UPDATE",,,"SY-UNAME, LS_INTERMEDIATE-MODIFIER, LS_INTERMEDIATE, LS_TABLE, LS_DATA","Operations: Assignment, Structure Field, Assignment | Variables: 15 tainted",
37,input/03_database_modify.abap,288,Complete,ZTABLE,MODIFIED_BY,MODIFY,,,"SY-UNAME, LS_INTERMEDIATE-MODIFIER, LS_INTERMEDIATE, LS_TABLE, LS_DATA","Operations: Assignment, Structure Field, Assignment | Variables: 15 tainted",
38,input/03_database_modify.abap,318,Partial,,LV_PROCESSOR,"MODIFY, SELECT",,,"SY-UNAME, LV_PROCESSOR, LS_TEMP-START_DATE, LS_TEMP, LS_TEMP-LAST_CHECKED","Operations: Assignment, Assignment, Structure Field | Variables: 9 tainted",Variable assignment - intermediate step before DB operation
39,input/03_database_modify.abap,338,Complete,ZTABLE,MODIFIED_BY,"SELECT, MODIFY",,,SY-UNAME,Variables: 1 tainted,
40,input/04_database_delete.abap,29,Partial,,,DELETE,,,"SY-UNAME, LV_USER, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 14 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
41,input/04_database_delete.abap,30,Partial,,,DELETE,,,"SY-UNAME, LV_USER, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 14 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
42,input/04_database_delete.abap,31,Partial,,,DELETE,,,"SY-UNAME, LV_USER, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 14 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
43,input/04_database_delete.abap,41,Partial,,LV_USER,DELETE,,,"SY-UNAME, LV_USER, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 16 tainted",Variable assignment - intermediate step before DB operation
44,input/04_database_delete.abap,72,Partial,,LV_PROCESSOR,"DELETE, SELECT",,,"SY-UNAME, LV_PROCESSOR, LS_TEMP-DELETED_BY, LS_TEMP, LT_TABLE","Operations: Assignment, Assignment, Structure Field | Variables: 17 tainted",Variable assignment - intermediate step before DB operation
45,input/04_database_delete.abap,81,Complete,ZTABLE,USER_FIELD,"DELETE, SELECT",,,"SY-UNAME, LV_USER, LS_DATE-LOW, LS_DATE, LR_DATE","Operations: Assignment, Assignment, Structure Field | Variables: 14 tainted",
46,input/04_database_delete.abap,103,Partial,,LV_USER,"DELETE, SELECT",,,"SY-UNAME, LV_USER, LS_DATE-LOW, LS_DATE, LR_DATE","Operations: Assignment, Assignment, Structure Field | Variables: 14 tainted",Variable assignment - intermediate step before DB operation
47,input/04_database_delete.abap,169,Complete,ZTABLE,DELETED_BY,"DELETE, SELECT",,,"SY-UNAME, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP, GT_TABLE","Operations: Assignment, Assignment, Structure Field | Variables: 15 tainted",
48,input/04_database_delete.abap,203,Complete,ZTABLE,DELETED_BY,"DELETE, SELECT",,,"SY-UNAME, LS_INTERMEDIATE-MODIFIER, LS_INTERMEDIATE, LS_TABLE, LS_DATA-DELETED_BY","Operations: Assignment, Structure Field, Assignment | Variables: 14 tainted",
49,input/04_database_delete.abap,208,Complete,ZTABLE,USER_FIELD,"DELETE, SELECT",,,"SY-UNAME, LS_DATA-DELETED_BY, LS_DATA, LV_PROCESSOR, LS_TEMP-DELETED_BY","Operations: Assignment, Structure Field, Assignment | Variables: 12 tainted",
50,input/04_database_delete.abap,256,Partial,,LV_PROCESSOR,"DELETE, SELECT",,,"SY-UNAME, LV_PROCESSOR, LS_TEMP-DELETED_BY, LS_TEMP, LS_TEMP-DELETION_DATE","Operations: Assignment, Assignment, Structure Field | Variables: 10 tainted",Variable assignment - intermediate step before DB operation
51,input/04_database_delete.abap,263,Complete,ZTABLE,USER_FIELD,"DELETE, SELECT",,,"SY-UNAME, LS_TEMP-DELETION_DATE, LS_TEMP, GT_TABLE, LV_USER","Operations: Assignment, Structure Field, Internal Table | Variables: 9 tainted",
52,input/04_database_delete.abap,313,Partial,,LV_USER,"DELETE, SELECT",,,"SY-UNAME, LV_USER, LS_TEMP-DELETED_BY, LS_TEMP, GT_TABLE","Operations: Assignment, Assignment, Structure Field | Variables: 8 tainted",Variable assignment - intermediate step before DB operation
53,input/04_database_delete.abap,343,Partial,,LV_DELETER,"DELETE, SELECT",,,"SY-UNAME, LV_DELETER, LS_TEMP-DELETED_BY, LS_TEMP, LT_TABLE","Operations: Assignment, Assignment, Structure Field | Variables: 7 tainted",Missing table name - incomplete tracking
54,input/06_move_operations.abap,81,Partial,,LV_VAR1,,,,"SY-UNAME, LV_VAR1, FIELD3","Operations: Assignment, Assignment | Variables: 3 tainted",Variable assignment - intermediate step before DB operation
55,input/09_data_declarations.abap,210,Partial,,LV_TEMPLATE,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable assignment - intermediate step before DB operation
56,input/10_if_else.abap,162,Partial,,LOCAL_VAR,,,,SY-UNAME,Variables: 1 tainted,Variable assignment - intermediate step before DB operation
57,input/11_case_when.abap,105,Partial,,LOCAL_VAR,,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
58,input/11_case_when.abap,109,Partial,,LOCAL_VAR,,,,SY-UNAME,Variables: 1 tainted,Missing table name - incomplete tracking
59,input/13_try_catch.abap,118,Partial,,LOCAL_VAR,,,,SY-UNAME,Variables: 1 tainted,"Conditional statement - checking SY-UNAME value, not storing"
60,input/34_multiline_colon.abap,162,Partial,,LOCAL_VAR,SELECT,,examples,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
61,input/34_multiline_colon.abap,233,Partial,,LOCAL_VAR,,,examples,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
62,input/business_scenario.abap,7,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
63,input/business_scenario.abap,14,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
64,input/complex_structure.abap,4,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
65,input/complex_structure.abap,10,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
66,input/long_code_find.abap,44,Partial,,LOCAL_VAR,,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
67,input/mixed_case.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
68,input/multiline_complex.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
69,input/simple_find.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
70,input/simple_find.abap,6,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
71,input/test_basic.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
72,input/test_colon_comma.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
73,input/test_colon_comma.abap,7,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
74,input/test_complex_flow.abap,4,Complete,ZTRANSFORMED_USERS,FIELD3,SELECT,,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
75,input/test_complex_flow.abap,5,Complete,ZTRANSFORMED_USERS,FIELD3,SELECT,,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
76,input/test_complex_flow.abap,11,Complete,ZTRANSFORMED_USERS,FIELD3,SELECT,,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
77,input/test_complex_flow.abap,18,Complete,ZTRANSFORMED_USERS,FIELD3,SELECT,,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
78,input/test_complex_flow.abap,24,Complete,ZTRANSFORMED_USERS,FIELD3,"SELECT, INSERT",,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
79,input/test_complex_flow.abap,25,Complete,ZTRANSFORMED_USERS,FIELD3,"SELECT, INSERT",,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
80,input/test_complex_flow.abap,26,Complete,ZTRANSFORMED_USERS,FIELD3,"SELECT, INSERT",,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
81,input/test_complex_flow.abap,29,Complete,ZTRANSFORMED_USERS,FIELD3,"SELECT, INSERT",,,"SY-UNAME, LV_USER1, LV_USER2, LV_USER3, GV_GLOBAL_USER","Operations: Assignment, Assignment, Assignment | Tables: ZTRANSFORMED_USERS | Fields: 1 affected | Variables: 8 tainted",
82,input/test_complex_flow.abap,66,Complete,ZPROCESSED_USERS,FIELD6,"MODIFY, INSERT, UPDATE",,,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 1 tainted,
83,input/test_complex_flow.abap,72,Complete,ZARCHIVE,CREATED_DATE,"MODIFY, INSERT, UPDATE",,,SY-UNAME,Operations: Rfc Call | Tables: ZARCHIVE | Fields: 1 affected | Variables: 1 tainted,
84,input/test_complex_flow.abap,79,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT",,,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 1 tainted,
85,input/test_complex_flow.abap,80,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT",,,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 1 tainted,
86,input/test_complex_flow.abap,96,Complete,ZPROCESSED_USERS,FIELD6,"UPDATE, SELECT, INSERT",,,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 1 tainted,
87,input/test_complex_flow.abap,97,Complete,ZPROCESSED_USERS,FIELD6,"SELECT, UPDATE, INSERT",,,SY-UNAME,Operations: Rfc Call | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 1 tainted,
88,input/test_complex_flow.abap,132,Complete,ZPROCESSED_USERS,FIELD6,"INSERT, UPDATE",,,"SY-UNAME, LS_AUDIT-AUDIT_DATE, LS_AUDIT, LS_AUDIT-AUDIT_TIME, LV_ARCHIVE_PATH","Operations: Assignment, Structure Field, Assignment | Tables: ZPROCESSED_USERS | Fields: 1 affected | Variables: 6 tainted",
89,input/test_complex_flow.abap,146,Complete,ZARCHIVE,"FIELD3, FIELD7, CREATED_DATE","UPDATE, INSERT",,,"SY-UNAME, LV_ARCHIVE_PATH, ARCHIVE_DATE","Operations: Assignment, Assignment | Tables: ZARCHIVE | Fields: 3 affected | Variables: 3 tainted",
90,input/test_comprehensive_scenario.abap,3,Partial,,,SELECT,,log_user_activity,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
91,input/test_comprehensive_scenario.abap,4,Partial,,,SELECT,,log_user_activity,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
92,input/test_comprehensive_scenario.abap,5,Partial,,,SELECT,,log_user_activity,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
93,input/test_comprehensive_scenario.abap,8,Partial,,,SELECT,,log_user_activity,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
94,input/test_comprehensive_scenario.abap,18,Partial,,GV_USER,"SELECT, MODIFY",,log_user_activity,"SY-UNAME, GV_USER, GV_LOG_USER, LS_DATA-CREATED_BY, LS_DATA","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted",Variable assignment - intermediate step before DB operation
95,input/test_comprehensive_scenario.abap,44,Partial,,LOCAL_VAR,MODIFY,,log_user_activity,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
96,input/test_cp949.abap,2,Partial,,,,,,"SY-UNAME, LV_USER",Operations: Assignment | Variables: 2 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
97,input/test_cp949.abap,3,Partial,,LV_USER,,,,"SY-UNAME, LV_USER",Operations: Assignment | Variables: 2 tainted,Variable assignment - intermediate step before DB operation
98,input/test_default.abap,3,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,"Missing table name, DB operation - incomplete tracking"
99,input/test_default.abap,8,Partial,,LOCAL_VAR,SELECT,,,SY-UNAME,Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
100,input/test_extended_scenarios.abap,3,Partial,,,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
101,input/test_extended_scenarios.abap,4,Partial,,LOCAL_VAR,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
102,input/test_extended_scenarios.abap,5,Partial,,,"SELECT, UPDATE",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted",Variable declaration - tracks SY-UNAME but no direct DB operation
103,input/test_extended_scenarios.abap,10,Partial,,GV_USER_RFC,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_RFC","Operations: Assignment, Rfc Call | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted",Variable assignment - intermediate step before DB operation
104,input/test_extended_scenarios.abap,17,Partial,,GV_USER_PERFORM,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_PERFORM, GV_USER_UNUSED","Operations: Assignment, Assignment | RFC: Z_RFC_UPDATE_USER | Variables: 3 tainted",Variable assignment - intermediate step before DB operation
105,input/test_extended_scenarios.abap,22,Partial,,GV_USER_UNUSED,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data","SY-UNAME, GV_USER_UNUSED",Operations: Assignment | RFC: Z_RFC_UPDATE_USER | Variables: 2 tainted,Variable assignment - intermediate step before DB operation
106,input/test_extended_scenarios.abap,26,Partial,,LOCAL_VAR,"SELECT, UPDATE, INSERT",Z_RFC_UPDATE_USER,"TYPE, process_user_data",SY-UNAME,RFC: Z_RFC_UPDATE_USER | Variables: 1 tainted,Variable declaration - tracks SY-UNAME but no direct DB operation
107,input/test_insert_values.abap,3,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT",,,"SY-UNAME, LV_CREATOR, USERNAME, TIMESTAMP, CLIENT","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 11 tainted",
108,input/test_insert_values.abap,4,Complete,ZUSER_RECORDS,CREATED_BY,"INSERT, SELECT",,,"SY-UNAME, LV_CREATOR, USERNAME, TIMESTAMP, CLIENT","Operations: Assignment, Assignment, Assignment | Tables: ZUSER_RECORDS | Fields: 1 affected | Variables: 11 tainted",
